ID,Spell_Name,Spell_level,Ritual,School,Casting_Time,Range,Components,Material_Component,Duration,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard,Description,Number of Classes that know spell
82,Creation,5,,Illusion,1 minute,30 ft,"V, S, M",a tiny piece of matter of the same type of the item you plan to create,Special,,,,,,Sorcerer,,Wizard,,2
83,Crown of Madness,2,,Enchantment,1 action,120 ft,"V, S",,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,Warlock,Wizard,,4
84,Crusader's Mantle,3,,Evocation,1 action,Self,V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1
85,Cure Wounds,1,,Evocation,1 action,Touch,"V, S",,Instantaneous,Bard,Cleric,Druid,Paladin,Ranger,,,,,5
86,Dancing Lights,Cantrip,,Evocation,1 action,120 ft,"V, S, M","a bit of phosphorus or wychwood, or a  glowworm","Concentration, up to 1 minute",Bard,,,,,Sorcerer,,Wizard,,3
87,Darkness,2,,Evocation,1 action,60 ft,"V, M",,"Concentration, up to 10 minutes",,,,,,Sorcerer,Warlock,Wizard,,3
88,Darkvision,2,,Transmutation,1 action,Touch,"V, S, M","either a pinch of dried
carrot or an agate",8 hours,,,Druid,,Ranger,Sorcerer,,Wizard,,4
89,Daylight,3,,Evocation,1 action,60 ft,"V, S",,1 hour,,Cleric,Druid,Paladin,Ranger,Sorcerer,,,,5
90,Death Ward,4,,Abjuration,1 action,Touch,"V, S",,8 hours,,Cleric,,Paladin,,,,,,2
91,Delayed Blast Fireball,7,,Evocation,1 action,150 ft,"V, S, M","a tiny ball of bat
guano and sulfur","Concentration, up to 1 minute",,,,,,Sorcerer,,Wizard,,2
92,Demiplane,8,,Conjuration,1 action,60 ft,V,,1 hour,,,,,,,Warlock,Wizard,,2
93,Destructive Wave (Smite?),5,,Evocation,1 action,Self (30ft radius),V,,Instantaneous,,,,Paladin,,,,,,1
94,Detect Evil and Good,1,,Divination,1 action,Self,"V, S",,"Concentration, up to 10 minutes",,Cleric,,Paladin,,,,,,2
95,Detect Magic,1,Ritual,Divination,1 action,Self,"V, S",,"Concentration, up to 10 minutes",Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,,Wizard,,7
96,Detect Poison and Disease,1,Ritual,Divination,1 action,Self,"V, S, M",a yew leaf,"Concentration, up to 10 minutes",,Cleric,Druid,Paladin,Ranger,,,,,4
97,Detect Thoughts,2,,Divination,1 action,Self,"V, S, M",a copper piece,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,,Wizard,,3
98,Dimension Door,4,,Conjuration,1 action,500 ft,V,,Instantaneous,Bard,,,,,Sorcerer,Warlock,Wizard,,4
99,Disguise Self,1,,Illusion,1 action,Self,"V, S",,1 hour,Bard,,,,,Sorcerer,,Wizard,,3
100,Disintegrate,6,,Transmutation,1 action,60 ft,"V, S, M",a lodestone and a pinch of dust,Instantaneous,,,,,,Sorcerer,,Wizard,,2
101,Dispel Evil and Good,5,,Abjuration,1 action,Self,"V, S, M","holy water or powdered
silver and iron","Concentration, up to 1 minute",,Cleric,,,,,,,,1
102,Dispel Magic,3,,Abjuration,1 action,120 ft,"V, S",,Instantaneous,Bard,Cleric,Druid,Paladin,,Sorcerer,Warlock,Wizard,,7
103,Dissonant Whispers,1,,Enchantment,1 action,60 ft,V,,Instantaneous,Bard,,,,,,,,,1
104,Divination,4,Ritual,Divination,1 action,Self,"V, S, M","incense and a sacrificial offering appropriate to your religion, together worth at least 25 gp, which the spell consumes",Instantaneous,,Cleric,,,,,,,,1
105,Divine Favor,1,,Evocation,1 bonus action,Self,"V, S",,"Concentration, up to 1 minute",,,,Paladin,,,,,,1
106,Divine Word,7,,Evocation,1 bonus action,Self,V,,Instantaneous,,Cleric,,,,,,,,1
107,Dominate Beast,4,,Enchantment,1 action,30 ft,"V, S",,"Concentration, up to 1 minute",,,Druid,,,Sorcerer,,,,2
108,Dominate Monster,8,,Enchantment,1 action,60 ft,"V, S",,"Concentration, up to 1 hour",Bard,,,,,Sorcerer,Warlock,Wizard,,4
109,Dominate Person,5,,Enchantment,1 action,60 ft,"V, S",,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,,Wizard,,3
110,Drawmij's Instant Summon,6,Ritual,Conjuration,1 minute,Touch,"V, S, M","a sapphire worth 1,000 gp",Until Dispelled,,,,,,,,Wizard,,1
111,Dream,5,,Illusion,1 minute,Special,"V, S, M","a handful of sand, a dab of ink, and a writing quill plucked from a sleeping bird",8 hours,Bard,,,,,,Warlock,Wizard,,3
112,Druidcraft,Cantrip,,Transmutation,1 action,30 ft,"V, S",,Instantaneous,,,Druid,,,,,,,1
113,Earthquake,8,,Evocation,1 action,500 ft,"V, S, M","a pinch of dirt, a piece of rock, and a lump of clay","Concentration, up to 1 minute",,Cleric,Druid,,,Sorcerer,,,,3
114,Eldritch Blast,Cantrip,,Evocation,1 action,120 ft,"V, S",,Instantaneous,,,,,,,Warlock,,,1
115,Elemental Weapon,3,,Transmutation,1 action,Touch,"V, S",,"Concentration, up to 1 hour",,,,Paladin,,,,,,1
116,Enhance Ability,2,,Transmutation,1 action,Touch,"V, S, M",fur or a feather from a beast,"Concentration, up to 1 hour",Bard,Cleric,Druid,,,Sorcerer,,,,4
117,Enlarge/Reduce,2,,Transmutation,1 action,30 ft,"V, S, M",a pinch of powdered iron,"Concentration, up to 1 minute",,,,,,Sorcerer,,Wizard,,2
118,Ensnaring Strike,1,,Conjuration,1 bonus action,Self,V,,"Concentration, up to 1 minute",,,,,Ranger,,,,,1
119,Entangle,1,,Conjuration,1 action,90 ft,"V, S",,"Concentration, up to 1 minute",,,Druid,,,,,,,1
120,Enthrall,2,,Enchantment,1 action,60 ft,"V, S",,1 minute,Bard,,,,,,Warlock,,,2
121,Etherealness,7,,Transmutation,1 action,Self,"V, S",,Up to 8 hours,Bard,Cleric,,,,Sorcerer,Warlock,Wizard,,5
122,Evard's Black Tentacles,4,,Conjuration,1 action,90 ft,"V, S, M",a piece o f tentacle from a giant octopus or a giant squid,"Concentration, up to 1 minute",,,,,,,,Wizard,,1
123,Expeditious Retreat,1,,Transmutation,1 bonus action,Self,"V, S",,"Concentration, up to 10 minutes",,,,,,Sorcerer,Warlock,Wizard,,3
124,Eyebite,6,,Necromancy,1 action,Self,"V, S",,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,Warlock,Wizard,,4
125,Fabricate,4,,Transmutation,10 minutes,120 ft,"V, S",,Instantaneous,,,,,,,,Wizard,,1
126,Faerire Fire,1,,Evocation,1 action,60 ft,V,,"Concentration, up to 1 minute",Bard,,Druid,,,,,,,2
127,False Life,1,,Necromancy,1 action,Self,"V, S, M",a small amount of alcohol or distilled spirits,1 hour,,,,,,Sorcerer,,Wizard,,2
128,Fear,3,,Illusion,1 action,Self (30ft cone),"V, S, M","a white feather or the
heart of a hen","Concentration, up to 1 minute",Bard,,,,,Sorcerer,Warlock,Wizard,,4
129,Feather Fall,1,,Transmutation,"1 reaction, which you take when you or a creature within 60 feet of you falls",60 ft,"V, M",a small feather or piece of down,1 minute,Bard,,,,,Sorcerer,,Wizard,,3
130,Feeblemind,8,,Enchantment,1 action,150 ft,"V, S, M","a handful of clay, crystal, glass, or mineral spheres",Instantaneous,Bard,,Druid,,,,Warlock,Wizard,,4
131,Feign Death,3,Ritual,Necromancy,1 action,Touch,"V, S, M",a pinch of graveyard dirt,1 hour,Bard,Cleric,Druid,,,,,Wizard,,4
132,Find Familiar,1,Ritual,Conjuration,1 hour,10 ft,"V, S, M","10 gp worth of charcoal,
incense, and herbs that must be consumed by fire in a brass brazier",Instantaneous,,,,,,,,Wizard,,1
133,Find Steed,2,,Conjuration,10 minutes,30 ft,"V, S",,Instantaneous,,,,Paladin,,,,,,1
134,Find the Path,6,,Divination,1 minute,Self,"V, S, M","a set o f divinatory tools?such as bones, ivory sticks, cards, teeth, or carved runes?worth 100 gp and an object from the location you wish to find","Concentration, up to 1 day",Bard,Cleric,Druid,,,,,,,3
135,Find Traps,2,,Divination,1 action,120 ft,"V, S",,Instantaneous,,Cleric,Druid,,Ranger,,,,,3
136,Finger of Death,7,,Necromancy,1 action,60 ft,"V, S",,Instantaneous,,,,,,Sorcerer,Warlock,Wizard,,3
137,Fireball,3,,Evocation,1 action,150 ft,"V, S, M","a tiny ball of bat
guano and sulfur",Instantaneous,,,,,,Sorcerer,,Wizard,,2
138,Fire Bolt,Cantrip,,Evocation,1 action,120 ft,"V, S",,Instantaneous,,,,,,Sorcerer,,Wizard,,2
139,Fire Shield,4,,Evocation,1 action,Self,"V, S, M",a bit of phosphorus or a firefly,10 minutes,,,,,,,,Wizard,,1
140,Fire Storm,7,,Evocation,1 action,150 ft,"V, S",,Instantaneous,,Cleric,Druid,,,Sorcerer,,,,3
141,Flame Blade,2,,Evocation,1 bonus action,Self,"V, S, M",leaf of sumac,"Concentration, up to 10 minutes",,,Druid,,,,,,,1
142,Flame Strike,5,,Evocation,1 action,60 ft,"V, S, M",pinch of sulfur,Instantaneous,,,,,,,,,,0
143,Flaming Sphere,2,,Conjuration,1 action,60 ft,"V, S, M","a bit of tallow, a pinch of brimstone, and a dusting of powdered iron","Concentration, up to 1 minute",,,,,,,,Wizard,,1
144,Flesh to Stone,6,,Transmutation,1 action,60 ft,"V, S, M","a pinch of lime, water, and earth","Concentration, up to 1 minute",,,,,,,Warlock,Wizard,,2
145,Fly,3,,Transmutation,1 action,Touch,"V, S, M",a wing feather from any bird,"Concentration, up to 10 minutes",,,,,,Sorcerer,Warlock,Wizard,,3
146,Fog Cloud,1,,Conjuration,1 action,120 ft,"V, S",,"Concentration, up to 1 hour",,,Druid,,Ranger,Sorcerer,,Wizard,,4
147,Forbiddance,6,Ritual,Abjuration,10 minutes,Touch,"V, S, M","a sprinkling of holy water, rare incense, and powdered ruby worth at least 1,000 gp",1 day,,Cleric,,,,,,,,1
148,Forcecage,7,,Evocation,1 action,100 ft,"V, S, M","ruby dust worth 1,500 gp",1 hour,Bard,,,,,,Warlock,Wizard,,3
149,Foresight,9,,Divination,1 minute,Touch,"V, S, M",a hummingbird feather,8 hours,Bard,,Druid,,,,Warlock,Wizard,,4
150,Freedom of Movement,4,,Abjuration,Touch,Touch,"V, S, M","a leather strap, bound around the arm or a similar appendage",1 hour,Bard,Cleric,Druid,,Ranger,,,,,4
151,Friends,Cantrip,,Enchantment,1 action,Self,"S, M",a small amount of makeup applied to the face as this spell is cast,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,Warlock,Wizard,,4
152,Gaseous Form,3,,Transmutation,1 action,Touch,"V, S, M","a bit o f gauze and a
wisp of smoke","Concentration, up to 1 hour",,,,,,Sorcerer,Warlock,Wizard,,3
153,Gate,9,,Conjuration,1 action,60 ft,"V, S, M","a diamond worth at least 5,000 gp","Concentration, up to 1 minute",,Cleric,,,,Sorcerer,,Wizard,,3
154,Geas,5,,Enchantment,1 minute,60 ft,V,,30 days,Bard,,Druid,Paladin,,,,Wizard,,4
155,Gentle Repose,2,Ritual,Necromancy,1 action,Touch,"V, S, M","a pinch of salt and one copper piece placed on each o f the corpse?s eyes, which must remain there for the duration",10 days,,Cleric,,,,,,Wizard,,2
156,Giant Insect,4,,Transmutation,1 action,30 ft,"V, S",,"Concentration, up to 10 minutes",,,Druid,,,,,,,1
157,Glibness,8,,Transmutation,1 action,Self,V,,1 hour,Bard,,,,,,Warlock,,,2
158,Globe of Invulnerability,6,,Abjuration,1 action,Self (10ft radius),"V, S, M",glass or crystal bead that shatters when the spell ends,"Concentration, up to 1 minute",,,,,,Sorcerer,,Wizard,,2
159,Glyph of Warding,3,,Abjuration,1 hour,Touch,"V, S, M","incense and powdered diamond worth at least 200 gp, which the spell consumes",Until dispelled or triggered,Bard,Cleric,,,,,,Wizard,,3
160,Goodberry,1,,Transmutation,1 action,Touch,"V, S, M",a sprig of mistletoe,Instantaneous,,,Druid,,Ranger,,,,,2
161,Grasping Wine,4,,Conjuration,1 bonus action,30 ft,"V, S",,"Concentration, up to 1 minute",,,Druid,,Ranger,,,Wizard,,3
162,Grease,1,,Conjuration,1 action,60 ft,"V, S, M",a bit of pork rind or butter,1 minute,,,,,,,,Wizard,,1
163,Greater Invisibility,4,,Illusion,1 action,Touch,"V, S",,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,,,,2
164,Greater Restoration,5,,Abjuration,1 action,Touch,"V, S, M","diamond dust worth at least 100 gp, which the spell consumes",Instantaneous,Bard,Cleric,Druid,,,,,,,3
165,Guardian of Faith,4,,Conjuration,1 action,30 ft,V,,8 hours,,Cleric,,,,,,,,1
166,Guards and Wards,6,,Abjuration,10 minutes,Touch,"V, S, M","burning incense, a small measure o f brimstone and oil, a knotted string, a small amount of umber hulk blood, and a small silver rod worth at least 10 gp",24 hours,Bard,,,,,,,Wizard,,2
167,Guidance,Cantrip,,Divination,1 action,Touch,"V, S",,"Concentration, up to 1 minute",,Cleric,Druid,,,,,,,2
168,Guiding Bolt,1,,Evocation,1 action,120 ft,"V, S",,1 round,,Cleric,,,,,,,,1
169,Gust of Wind,2,,Evocation,1 action,Self (60ft line),"V, S, M",a legume seed,"Concentration, up to 1 minute",,,Druid,,,Sorcerer,,Wizard,,3
170,Hail of Thorns,1,,Conjuration,1 bonus action,Self,V,,"Concentration, up to 1 minute",,,,,Ranger,,,,,1
171,Hallow,5,,Evocation,24 hours,Touch,"V, S, M","herbs, oils, and incense worth at least 1,000 gp, which the spell consumes",Until Dispelled,,Cleric,,,,,,,,1
172,Hallucinatory Terrain,4,,Illusion,10 minutes,300 ft,"V, S, M","a stone, a twig, and a bit of green plant",24 hours,Bard,,Druid,,,,Warlock,Wizard,,4
173,Harm,6,,Necromancy,1 action,60 ft,"V, S",,Instantaneous,,Cleric,,,,,,,,1
174,Haste,3,,Transmutation,1 action,30 ft,"V, S, M",a shaving of licorice root,"Concentration, up to 1 minute",,,,,,Sorcerer,,Wizard,,2
175,Heal,6,,Evocation,1 action,60 ft,"V, S",,Instantaneous,,Cleric,Druid,,,,,,,2
176,Healing Word,1,,Evocation,1 bonus action,60 ft,V,,Instantaneous,Bard,Cleric,Druid,,,,,,,3
177,Heat Metal,2,,Transmutation,1 action,60 ft,"V, S, M",a piece of iron and a flame,"Concentration, up to 1 minute",Bard,,Druid,,,,,,,2
178,Hellish Rebuke,1,,Evocation,"1 reaction, which you take in response to being damaged by a creature within 60 feet of you that you can see",60 ft,"V, S",,Instantaneous,,,,,,,Warlock,,,1
179,Heroes's Feast,6,,Conjuration,10 minutes,30 ft,"V, S, M","a gem-encrusted bowl worth at least 1,000 gp, which the spell consumes",Instantaneous,,Cleric,Druid,,,,,,,2
180,Heroism,1,,Enchantment,1 action,Touch,"V, S",,"Concentration, up to 1 minute",Bard,,,Paladin,,,,,,2
181,Hex,1,,Enchantment,1 bonus action,90 ft,"V, S, M",the petrified eye of a newt,"Concentration, up to 1 hour",,,,,,,Warlock,,,1
182,Hold Monster,5,,Enchantment,1 action,90 ft,"V, S, M","a small, straight piece of iron","Concentration, up to 1 minute",Bard,,,,,Sorcerer,Warlock,Wizard,,4
183,Hold Person,2,,Enchantment,1 action,60 ft,"V, S, M","a small, straight piece of iron","Concentration, up to 1 minute",Bard,Cleric,Druid,,,Sorcerer,Warlock,Wizard,,6
184,Holy Aura,8,,Abjuration,1 action,Self,"V, S, M","a tiny reliquary worth at least 1,000 gp containing a sacred relic, such as a scrap of cloth from a saint?s robe or a piece of parchment from a religious text","Concentration, up to 1 minute",,Cleric,,,,,,,,1
